name,date,price,views,link
iPhone 6s PLUS  rose Gold+ Ανταλλαγές,18/05/2020 03:36  μμ,"
										
											230,00 €
										
									",152,https://www.insomnia.gr/classifieds/item/1579882-iphone-6s-plus-rose-gold-%CE%B1%CE%BD%CF%84%CE%B1%CE%BB%CE%BB%CE%B1%CE%B3%CE%AD%CF%82/
Apple iPhone 7 32GB 4G+,18/05/2020 03:36  μμ,"
										
											180,00 €
										
									",38,https://www.insomnia.gr/classifieds/item/1579883-apple-iphone-7-32gb-4g/
Iphone 7 32Gb,18/05/2020 03:39  μμ,"
										
											200,00 €
										
									",393,https://www.insomnia.gr/classifieds/item/1544080-iphone-7-32gb/
Apple iPhone X (256GB),18/05/2020 04:15  μμ,"
										
											700,00 €
										
									",223,https://www.insomnia.gr/classifieds/item/1542668-apple-iphone-x-256gb/
Πωλείται iPhone 7 Plus 128GB Jet Black,18/05/2020 04:36  μμ,"
										
											260,00 €
										
									",65,https://www.insomnia.gr/classifieds/item/1579913-%CF%80%CF%89%CE%BB%CE%B5%CE%AF%CF%84%CE%B1%CE%B9-iphone-7-plus-128gb-jet-black/
Iphone 4 και 4s για ανταλλακτικά,18/05/2020 04:59  μμ,"
										
											50,00 €
										
									",240,https://www.insomnia.gr/classifieds/item/1552218-iphone-4-%CE%BA%CE%B1%CE%B9-4s-%CE%B3%CE%B9%CE%B1-%CE%B1%CE%BD%CF%84%CE%B1%CE%BB%CE%BB%CE%B1%CE%BA%CF%84%CE%B9%CE%BA%CE%AC/
iPhone X 64Gb special grey,18/05/2020 05:17  μμ,"
										
											450,00 €
										
									",64,https://www.insomnia.gr/classifieds/item/1579936-iphone-x-64gb-special-grey/
Apple iPhone X 64GB Space Grey 90%+ ΥΓΕΙΑ ΜΠΑΤΑΡΙΑΣ,18/05/2020 05:21  μμ,"
										
											460,00 €
										
									",52,https://www.insomnia.gr/classifieds/item/1579942-apple-iphone-x-64gb-space-grey-90-%CF%85%CE%B3%CE%B5%CE%B9%CE%B1-%CE%BC%CF%80%CE%B1%CF%84%CE%B1%CF%81%CE%B9%CE%B1%CF%83/
Apple iPhone 11 Pro Max (64GB) Midnight Green ΣΦΡΑΓΙΣΜΕΝΟ,18/05/2020 05:29  μμ,"
										
											1.050,00 €
										
									",67,https://www.insomnia.gr/classifieds/item/1579949-apple-iphone-11-pro-max-64gb-midnight-green-%CF%83%CF%86%CF%81%CE%B1%CE%B3%CE%B9%CF%83%CE%BC%CE%B5%CE%BD%CE%BF/
iPhone 11 Pro (64GB) Space Gray,17/05/2020 11:27  μμ,"
										
											840,00 €
										
									",218,https://www.insomnia.gr/classifieds/item/1579580-iphone-11-pro-64gb-space-gray/
iPhone 7 128 gb,18/05/2020 12:10  πμ,"
										
											240,00 €
										
									",45,https://www.insomnia.gr/classifieds/item/1579605-iphone-7-128-gb/
Iphone x 256gb,,"
										
											490,00 €
										
									",214,https://www.insomnia.gr/classifieds/item/1536204-iphone-x-256gb/
Iphone 11 pro max 64 gb,18/05/2020 12:50  πμ,"
										
											800,00 €
										
									",898,https://www.insomnia.gr/classifieds/item/1541378-iphone-11-pro-max-64-gb/
Iphone 6 16gb Άριστο,18/05/2020 01:45  πμ,"
										
											95,00 €
										
									",64,https://www.insomnia.gr/classifieds/item/1579629-iphone-6-16gb-%CE%AC%CF%81%CE%B9%CF%83%CF%84%CE%BF/
iPhone 7 | 32GB | Matte Black,18/05/2020 02:04  πμ,"
										
											70,00 €
										
									",134,https://www.insomnia.gr/classifieds/item/1579635-iphone-7-32gb-matte-black/
iphone x 64gb klidomeno se sprint diktio,18/05/2020 02:57  πμ,"
										
											270,00 €
										
									",139,https://www.insomnia.gr/classifieds/item/1579646-iphone-x-64gb-klidomeno-se-sprint-diktio/
Έφυγε,,"
										
											Επικοινωνία
										
									",96,https://www.insomnia.gr/classifieds/item/1579650-%CE%AD%CF%86%CF%85%CE%B3%CE%B5/
iPhone 7 32 gb rose με θεμα,18/05/2020 07:40  πμ,"
										
											130,00 €
										
									",462,https://www.insomnia.gr/classifieds/item/1568364-iphone-7-32-gb-rose-%CE%BC%CE%B5-%CE%B8%CE%B5%CE%BC%CE%B1/
MacBook Pro retina 13.3 2015 τιμη συζητήσιμη,18/05/2020 09:41  πμ,"
										
											380,00 €
										
									",325,https://www.insomnia.gr/classifieds/item/1548090-macbook-pro-retina-133-2015-%CF%84%CE%B9%CE%BC%CE%B7-%CF%83%CF%85%CE%B6%CE%B7%CF%84%CE%AE%CF%83%CE%B9%CE%BC%CE%B7/
Iphone 11 pro max case,18/05/2020 09:57  πμ,"
										
											40,00 €
										
									",168,https://www.insomnia.gr/classifieds/item/1532339-iphone-11-pro-max-case/
iPhone 11 PRO MAX 512GB MIDNIGHT GREEN,18/05/2020 10:06  πμ,"
										
											1.250,00 €
										
									",469,https://www.insomnia.gr/classifieds/item/1565315-iphone-11-pro-max-512gb-midnight-green/
IPHONE XS 64GB SPACE GREY ΑΡΙΣΤΟ ΕΝΤΟΣ ΕΓΓΥΣΗΣ!!,18/05/2020 11:10  πμ,"
										
											500,00 €
										
									",140,https://www.insomnia.gr/classifieds/item/1579715-iphone-xs-64gb-space-grey-%CE%B1%CF%81%CE%B9%CF%83%CF%84%CE%BF-%CE%B5%CE%BD%CF%84%CE%BF%CF%83-%CE%B5%CE%B3%CE%B3%CF%85%CF%83%CE%B7%CF%83/
iphone se 16 gb,18/05/2020 11:22  πμ,"
										
											100,00 €
										
									",177,https://www.insomnia.gr/classifieds/item/1563948-iphone-se-16-gb/
iphone SE 2020 (64GB),18/05/2020 11:33  πμ,"
										
											495,00 €
										
									",98,https://www.insomnia.gr/classifieds/item/1579726-iphone-se-2020-64gb/
iPhone 8 64GB λευκό,18/05/2020 11:35  πμ,"
										
											250,00 €
										
									",607,https://www.insomnia.gr/classifieds/item/1565478-iphone-8-64gb-%CE%BB%CE%B5%CF%85%CE%BA%CF%8C/
iPhone se 2020 σφραγισμένο Θεσσαλονίκη,17/05/2020 04:28  μμ,"
										
											430,00 €
										
									",212,https://www.insomnia.gr/classifieds/item/1579350-iphone-se-2020-%CF%83%CF%86%CF%81%CE%B1%CE%B3%CE%B9%CF%83%CE%BC%CE%AD%CE%BD%CE%BF-%CE%B8%CE%B5%CF%83%CF%83%CE%B1%CE%BB%CE%BF%CE%BD%CE%AF%CE%BA%CE%B7/
XS_Max_ New,17/05/2020 04:44  μμ,"
										
											640,00 €
										
									",213,https://www.insomnia.gr/classifieds/item/1574538-xs_max_-new/
iPhone 11 black 64gb,17/05/2020 04:54  μμ,"
										
											650,00 €
										
									",1038,https://www.insomnia.gr/classifieds/item/1521850-iphone-11-black-64gb/
iPhone 7 128 gb - Θεσσαλονίκη,,"
										
											200,00 €
										
									",188,https://www.insomnia.gr/classifieds/item/1575061-iphone-7-128-gb-%CE%B8%CE%B5%CF%83%CF%83%CE%B1%CE%BB%CE%BF%CE%BD%CE%AF%CE%BA%CE%B7/
iphone 7 jet black 256GB,17/05/2020 05:25  μμ,"
										
											200,00 €
										
									",744,https://www.insomnia.gr/classifieds/item/1422678-iphone-7-jet-black-256gb/
iphone 4s 16gb λευκό,17/05/2020 05:54  μμ,"
										
											45,00 €
										
									",289,https://www.insomnia.gr/classifieds/item/1532901-iphone-4s-16gb-%CE%BB%CE%B5%CF%85%CE%BA%CF%8C/
iPhone 7 gold 32GB,17/05/2020 05:55  μμ,"
										
											200,00 €
										
									",371,https://www.insomnia.gr/classifieds/item/1537259-iphone-7-gold-32gb/
Apple iPhone 5s μαύρο 16GB,17/05/2020 06:01  μμ,"
										
											90,00 €
										
									",326,https://www.insomnia.gr/classifieds/item/1562455-apple-iphone-5s-%CE%BC%CE%B1%CF%8D%CF%81%CE%BF-16gb/
I PHONE 11 PRO MAX,17/05/2020 06:25  μμ,"
										
											1.400,00 €
										
									",104,https://www.insomnia.gr/classifieds/item/1579410-i-phone-11-pro-max/
iPhone 7 plus 32 GB σαν σφραγισμενο - αριστο,17/05/2020 08:12  μμ,"
										
											250,00 €
										
									",124,https://www.insomnia.gr/classifieds/item/1579474-iphone-7-plus-32-gb-%CF%83%CE%B1%CE%BD-%CF%83%CF%86%CF%81%CE%B1%CE%B3%CE%B9%CF%83%CE%BC%CE%B5%CE%BD%CE%BF-%CE%B1%CF%81%CE%B9%CF%83%CF%84%CE%BF/
I phone 6s & 6 plus,17/05/2020 08:27  μμ,"
										
											0,01 €
										
									",693,https://www.insomnia.gr/classifieds/item/1502404-i-phone-6s-6-plus/
iPhone X 64/256GB,17/05/2020 08:46  μμ,"
										
											440,00 €
										
									",162,https://www.insomnia.gr/classifieds/item/1579493-iphone-x-64256gb/
Iphone 7 (128gb)  red special edition,17/05/2020 08:56  μμ,"
										
											300,00 €
										
									",48,https://www.insomnia.gr/classifieds/item/1579500-iphone-7-128gb-red-special-edition/
iphone 6 32gb,17/05/2020 09:29  μμ,"
										
											120,00 €
										
									",166,https://www.insomnia.gr/classifieds/item/1557030-iphone-6-32gb/
ΤΕΛΟΣ,,"
										
											Επικοινωνία
										
									",105,https://www.insomnia.gr/classifieds/item/1579512-%CF%84%CE%B5%CE%BB%CE%BF%CF%83/
iPhone 11 Pro Max-64 gb,17/05/2020 09:49  μμ,"
										
											1.000,00 €
										
									",103,https://www.insomnia.gr/classifieds/item/1579525-iphone-11-pro-max-64-gb/
iphone 7 black 128gb,17/05/2020 09:24  πμ,"
										
											250,00 €
										
									",29,https://www.insomnia.gr/classifieds/item/1579088-iphone-7-black-128gb/
Άριστο iPhone 6s 16gb 100€,17/05/2020 09:44  πμ,"
										
											100,00 €
										
									",594,https://www.insomnia.gr/classifieds/item/1562907-%CE%AC%CF%81%CE%B9%CF%83%CF%84%CE%BF-iphone-6s-16gb-100%E2%82%AC/
