,name,price,type,link,date,model,plus_size
24,xs max 12 pro pro max,530,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675178-%CE%B1%CF%81%CE%B9%CF%83%CF%84%CE%BF-%CE%BB%CE%B5%CF%85%CE%BA%CE%BF-xs-max%CE%B4%CE%B5%CE%BA%CF%84%CE%AD%CF%82-%CE%B1%CE%BD%CF%84%CE%B1%CE%BB%CE%BB%CE%B1%CE%B3%CE%AD%CF%82-%CE%BC%CE%B5-12-propro-max-%CE%B4%CE%B9%CE%B1%CF%86%CE%BF%CF%81%CE%AC-%CE%B1%CF%80%CF%8C-%CE%BC%CE%B5%CE%BD%CE%B1/,2020-11-13 15:20:00,xs,3
25,11 pro max 256gb,890,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675187-iphone-11-pro-max-256gb/,2020-11-13 15:37:00,11,3
26,xs max 64gb silver,750,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675191-iphone-xs-max-64gb-silver/,2020-11-13 15:41:00,xs,0
27,11 pro max 64gb midnight green,930,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675236-iphone-11-pro-max-64gb-midnight-green/,2020-11-13 16:46:00,11,3
28,7 matte black 32gb,110,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1664610-iphone-7-matte-black-32gb/,2020-11-13 16:51:00,7,0
29,11 pro max 256gb,850,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675285-iphone-11-pro-max-256gb/,2020-11-13 17:59:00,11,3
30,11 pro max 64 gb,750,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675286-iphone-11-pro-max-64-gb-%CF%80%CF%81%CE%AC%CF%83%CE%B9%CE%BD%CE%BF/,2020-11-13 18:02:00,11,3
31,11 pro max 64gb midnight green 1,780,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675297-iphone-11-pro-max-64gb-midnight-green-%CE%BC%CE%B5-%CF%85%CF%80%CE%BF%CE%BB%CE%BF%CE%B9%CF%80%CE%BF-1-%CF%87%CF%81%CE%BF%CE%BD%CE%BF-%CE%B5%CE%B3%CE%B3%CF%85%CE%B7%CF%83%CE%B7%CF%82/,2020-11-13 18:19:00,11,3
32,xs 5,480,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675304-iphone-xs-5-%CE%BC%CE%B7%CE%BD%CF%8E%CE%BD/,2020-11-13 18:30:00,xs,0
33,xr 64 gb,390,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675310-iphone-xr-64-gb/,2020-11-13 18:38:00,xr,0
34,11 pro max 64,850,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675321-iphone-11-pro-max-64/,,11,3
35,xs max 256gb space grey,530,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675322-iphone-xs-max-256gb-space-grey-%CE%BD%CE%B1-%CF%86%CE%B5%CF%85%CE%B3%CE%B5%CE%B9-%CE%B1%CE%BC%CE%B5%CF%83%CE%B1/,,xs,0
36,11 pro max gold,790,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675325-iphone-11-pro-max-gold/,2020-11-13 19:06:00,11,3
37,11 pro max 64gb midnight green,880,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675326-iphone-11-pro-max-64gb-midnight-green-%CE%BC%CE%B5-%CF%80%CE%BF%CE%BB%CE%BB%CE%B1-%CE%B5%CE%BE%CF%84%CF%81%CE%B1/,2020-11-13 19:11:00,11,3
38,8 64 gb,240,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1648505-iphone-8-64-gb-%CF%84%CE%B9%CE%BC%CE%B7-%CF%83%CF%85%CE%B6%CE%B7%CF%84%CE%B7%CF%83%CE%B9%CE%BC%CE%B7/,2020-11-13 19:26:00,8,0
39,11 pro 64gb midnight green,700,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675352-iphone-11-pro-64gb-midnight-green/,2020-11-13 19:33:00,11,2
40,se 2020 64gb black eu,430,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675354-apple-iphone-se-2020-64gb-black-eu/,2020-11-13 19:38:00,,0
41,xs max 256 gold dual sim,650,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1667537-xs-max-256-gold-dual-sim/,2020-11-13 19:43:00,xs,0
42,lightning to usb cable,8,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675390-%CE%B1%CF%85%CE%B8%CE%B5%CE%BD%CF%84%CE%B9%CE%BA%CE%B1-apple-iphone-lightning-to-usb-cable/,2020-11-13 20:28:00,,0
43,11 64 550,550,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675393-iphone-11-64-%CE%BC%CE%B1%CF%8D%CF%81%CE%BF-550-%CE%B5%CF%85%CF%81%CF%8E/,2020-11-13 20:29:00,11,0
44,pple 8 64gb gold,280,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1667225-%CE%B1pple-iphone-8-64gb-gold/,2020-11-13 20:32:00,,0
45,x,380,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675395-iphone-x-%CE%B1%CF%81%CE%B9%CF%83%CF%84%CE%BF/,2020-11-13 20:34:00,x,0
46,xs max 256gb,630,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675396-apple-iphone-xs-max-256gb/,2020-11-13 20:36:00,xs,0
47,12 128 se 64gb,930,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675418-%CF%83%CF%86%CF%81%CE%B1%CE%B3%CE%B9%CF%83%CE%BC%CE%B5%CE%BD%CE%B1-iphone-12-128-%CE%BC%CE%B1%CF%85%CF%81%CE%BF-%CE%BA%CE%B1%CE%B9-iphone-se-64gb/,2020-11-13 21:08:00,12,0
48,x 256gb silver,650,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1625641-apple-iphone-x-256gb-silver-%CE%BD%CE%AD%CE%B1-%CF%84%CE%B9%CE%BC%CE%AE/,2020-11-13 21:26:00,x,0
49,8 64 gb white,260,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1670729-iphone-8-64-gb-white/,2020-11-14 09:42:00,8,0
50,7 6s 6 2 5,150,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675082-iphone-7-iphone-6s-%CE%BA%CE%B1%CE%B9-%CE%BC%CE%B9%CE%B1-%CE%BF%CE%B8%CF%8C%CE%BD%CE%B7-%CE%BA%CE%B1%CE%B9%CE%BD%CE%BF%CF%85%CF%81%CE%B3%CE%B9%CE%B1-iphone-6-2-iphone-5/,2020-11-13 13:04:00,7,0
51,11 pro max gold 64,800,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1664799-iphone-11-pro-max-gold-64/,2020-11-13 13:17:00,11,3
52,11 pro max 64gb space grey,830,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675097-iphone-11-pro-max-64gb-space-grey/,2020-11-13 13:20:00,11,3
53,11 black 256 extra,785,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675103-iphone-11-black-256-%CE%BF%CE%BB%CE%BF%CE%BA%CE%B1%CE%AF%CE%BD%CE%BF%CF%85%CF%81%CE%B9%CE%BF-extra/,2020-11-13 13:32:00,11,0
54,xs max 256gb,650,ΠΩΛΗΣΗ,https://www.insomnia.gr/classifieds/item/1675110-iphone-xs-max-256gb/,2020-11-13 13:36:00,xs,0
